total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2208,1779,315,242,761,417,2021-01-28T06:39:58.397Z
100,81,18,14,43,23,2021-01-28T06:39:58.397Z
