dates,averages,lastUpdate
"{'begin_date': '3.1.21', 'end_date': '9.1.21'}",7245,2021-01-28T06:39:58.397Z
"{'begin_date': '10.1.21', 'end_date': '16.1.21'}",8318,2021-01-28T06:39:58.397Z
"{'begin_date': '17.1.21', 'end_date': '23.1.21'}",7095,2021-01-28T06:39:58.397Z
"{'begin_date': '24.1.21', 'end_date': '28.1.21'}",6058,2021-01-28T06:39:58.397Z
