section,male,female,lastUpdate,date
0,0,0,2020-10-20T06:59:42.170Z,2020-10-20T06:59:42.170Z
10,1,0,2020-10-20T06:59:42.170Z,2020-10-20T06:59:42.170Z
20,2,3,2020-10-20T06:59:42.170Z,2020-10-20T06:59:42.170Z
30,8,4,2020-10-20T06:59:42.170Z,2020-10-20T06:59:42.170Z
40,20,12,2020-10-20T06:59:42.170Z,2020-10-20T06:59:42.170Z
50,57,33,2020-10-20T06:59:42.170Z,2020-10-20T06:59:42.170Z
60,119,41,2020-10-20T06:59:42.170Z,2020-10-20T06:59:42.170Z
70,111,51,2020-10-20T06:59:42.170Z,2020-10-20T06:59:42.170Z
80,64,55,2020-10-20T06:59:42.170Z,2020-10-20T06:59:42.170Z
90,14,30,2020-10-20T06:59:42.170Z,2020-10-20T06:59:42.170Z
