section,male,female,lastUpdate,date
0,2,4,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
10,3,1,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
20,19,13,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
30,26,19,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
40,58,47,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
50,219,102,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
60,591,267,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
70,994,544,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
80,1080,945,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
90,508,675,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
