section,male,female,lastUpdate,date
0,1.0,4,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
10,,1,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
20,9.0,4,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
30,17.0,17,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
40,34.0,20,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
50,60.0,37,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
60,58.0,49,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
70,47.0,40,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
80,28.0,41,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
90,9.0,9,2021-03-23T06:28:23.317Z,2021-03-23T06:28:23.317Z
