total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
2020,1878,341,257,748,392,2021-01-25T03:43:39.050Z
100,93,18,14,40,21,2021-01-25T03:43:39.050Z
