section,male,female,lastUpdate,date
0,0,1,2021-04-08T19:16:17.017Z,2021-04-08T19:16:17.017Z
10,1,0,2021-04-08T19:16:17.017Z,2021-04-08T19:16:17.017Z
20,3,0,2021-04-08T19:16:17.017Z,2021-04-08T19:16:17.017Z
30,2,3,2021-04-08T19:16:17.017Z,2021-04-08T19:16:17.017Z
40,18,5,2021-04-08T19:16:17.017Z,2021-04-08T19:16:17.017Z
50,28,12,2021-04-08T19:16:17.017Z,2021-04-08T19:16:17.017Z
60,16,18,2021-04-08T19:16:17.017Z,2021-04-08T19:16:17.017Z
70,12,13,2021-04-08T19:16:17.017Z,2021-04-08T19:16:17.017Z
80,9,4,2021-04-08T19:16:17.017Z,2021-04-08T19:16:17.017Z
90,1,1,2021-04-08T19:16:17.017Z,2021-04-08T19:16:17.017Z
