section,male,female,lastUpdate,date
0,1,1,2021-01-18T04:35:31.270Z,2021-01-18T04:35:31.270Z
10,0,0,2021-01-18T04:35:31.270Z,2021-01-18T04:35:31.270Z
20,2,1,2021-01-18T04:35:31.270Z,2021-01-18T04:35:31.270Z
30,3,1,2021-01-18T04:35:31.270Z,2021-01-18T04:35:31.270Z
40,14,12,2021-01-18T04:35:31.270Z,2021-01-18T04:35:31.270Z
50,35,13,2021-01-18T04:35:31.270Z,2021-01-18T04:35:31.270Z
60,58,25,2021-01-18T04:35:31.270Z,2021-01-18T04:35:31.270Z
70,42,28,2021-01-18T04:35:31.270Z,2021-01-18T04:35:31.270Z
80,17,12,2021-01-18T04:35:31.270Z,2021-01-18T04:35:31.270Z
90,3,2,2021-01-18T04:35:31.270Z,2021-01-18T04:35:31.270Z
