section,male,female,lastUpdate,date
0,2,1,2021-01-16T18:58:54.310Z,2021-01-16T18:58:54.310Z
10,2,2,2021-01-16T18:58:54.310Z,2021-01-16T18:58:54.310Z
20,6,9,2021-01-16T18:58:54.310Z,2021-01-16T18:58:54.310Z
30,14,8,2021-01-16T18:58:54.310Z,2021-01-16T18:58:54.310Z
40,26,25,2021-01-16T18:58:54.310Z,2021-01-16T18:58:54.310Z
50,136,64,2021-01-16T18:58:54.310Z,2021-01-16T18:58:54.310Z
60,370,155,2021-01-16T18:58:54.310Z,2021-01-16T18:58:54.310Z
70,659,320,2021-01-16T18:58:54.310Z,2021-01-16T18:58:54.310Z
80,733,616,2021-01-16T18:58:54.310Z,2021-01-16T18:58:54.310Z
90,344,466,2021-01-16T18:58:54.310Z,2021-01-16T18:58:54.310Z
