section,male,female,lastUpdate,date
0,0,1,2021-01-10T03:55:57.563Z,2021-01-10T03:55:57.563Z
10,0,0,2021-01-10T03:55:57.563Z,2021-01-10T03:55:57.563Z
20,1,0,2021-01-10T03:55:57.563Z,2021-01-10T03:55:57.563Z
30,2,1,2021-01-10T03:55:57.563Z,2021-01-10T03:55:57.563Z
40,7,5,2021-01-10T03:55:57.563Z,2021-01-10T03:55:57.563Z
50,30,6,2021-01-10T03:55:57.563Z,2021-01-10T03:55:57.563Z
60,52,18,2021-01-10T03:55:57.563Z,2021-01-10T03:55:57.563Z
70,44,27,2021-01-10T03:55:57.563Z,2021-01-10T03:55:57.563Z
80,18,10,2021-01-10T03:55:57.563Z,2021-01-10T03:55:57.563Z
90,4,2,2021-01-10T03:55:57.563Z,2021-01-10T03:55:57.563Z
