age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,lastUpdate
10-19,327126,284487,1538337,21.3,18.5,2021-04-06T15:49:06.867Z
20-29,959465,849339,1300361,73.8,65.3,2021-04-06T15:49:06.867Z
30-39,936829,852301,1197026,78.3,71.2,2021-04-06T15:49:06.867Z
40-49,910263,844314,1098556,82.9,76.9,2021-04-06T15:49:06.867Z
50-59,744864,696881,849966,87.6,82.0,2021-04-06T15:49:06.867Z
60-69,660087,628437,741639,89.0,84.7,2021-04-06T15:49:06.867Z
70-79,478640,461858,490784,97.5,94.1,2021-04-06T15:49:06.867Z
80-89,214047,205727,225538,94.9,91.2,2021-04-06T15:49:06.867Z
90+,50355,47504,51496,97.8,92.2,2021-04-06T15:49:06.867Z
