total_beds,total_occupancy,easy_occupancy,medium_occupancy,hard_occupancy,critical_occupancy,lastUpdate
3308,1089,216,170,404,264,2021-03-09T06:30:57.253Z
100,33,20,16,37,24,2021-03-09T06:30:57.253Z
