dates,averages,lastUpdate
"{'begin_date': '7.2.21', 'end_date': '13.2.21'}",5116,2021-02-28T06:18:09.987Z
"{'begin_date': '14.2.21', 'end_date': '20.2.21'}",3675,2021-02-28T06:18:09.987Z
"{'begin_date': '21.2.21', 'end_date': '27.2.21'}",3596,2021-02-28T06:18:09.987Z
