section,male,female,lastUpdate,date
0,2,2,2021-02-04T06:11:47.710Z,2021-02-04T06:11:47.710Z
10,3,2,2021-02-04T06:11:47.710Z,2021-02-04T06:11:47.710Z
20,10,9,2021-02-04T06:11:47.710Z,2021-02-04T06:11:47.710Z
30,14,11,2021-02-04T06:11:47.710Z,2021-02-04T06:11:47.710Z
40,38,32,2021-02-04T06:11:47.710Z,2021-02-04T06:11:47.710Z
50,168,79,2021-02-04T06:11:47.710Z,2021-02-04T06:11:47.710Z
60,467,201,2021-02-04T06:11:47.710Z,2021-02-04T06:11:47.710Z
70,818,406,2021-02-04T06:11:47.710Z,2021-02-04T06:11:47.710Z
80,909,762,2021-02-04T06:11:47.710Z,2021-02-04T06:11:47.710Z
90,428,585,2021-02-04T06:11:47.710Z,2021-02-04T06:11:47.710Z
